品牌,型号,评分分组,评分,评价内容,评论字数,时间,追评内容,页面标题,评价星级
索尼,ZV-E10,好评,4,要不要这样呀，相机都还没捂热，就降价了 也太坑了吧！,26,2026-03-11,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,4星
索尼,ZV-E10,好评,5,这次购物体验简直太棒啦！zve10商品质量超赞，细节之处尽显用心，看得出商家在制作上十分考究。物流速度也相当给力，下单没多久就收到了。客服服务更是没话说，有问必答，态度亲切又耐心，必须给五星好评！,98,2026-03-11,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,昨天看还是原价，今天降了150，刚好过了保价期两天，太过分了吧，降那么多，差评。找了客服也是不给退差价，真当老百姓钱那么好赚呢？,64,2026-03-10,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,差评,1,此用户未及时填写评价内容,12,2026-03-10,不要买！拆封就不给退，霸王条款！,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,1星
索尼,ZV-E10,好评,5,这款相机简直是颜值担当，对焦挺快，照片拍出来挺清晰的，传输到手机也非常快，外包装完整，物流发货速度很快，整体来说是一次很满意的购物体验。,68,2026-03-10,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,很好用的一个相机，携带非常方便。,16,2026-03-10,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,差评,1,拿到相机就是破的， 联系索尼京东自营店铺客服破成这鬼样子还装正常，要售后处理又踢皮球给京东客服。自营店铺客服售后服务真差到极点，有事不处理还要消费者自己去催。,79,2026-03-09,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,1星
索尼,ZV-E10,好评,5,实物和图片一样，品质在线，细节到位。包装仔细严实，物流又快又稳。店家服务周到，售后有保障，整体体验满分。性价比很高，用着放心，已经推荐给朋友，下次还来！,76,2026-03-08,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,"非常的好用 轻巧 不错不错 推荐
产品包装：好",23,2026-03-08,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,轻便对焦快。换了一圈还是买回这个,16,2026-03-07,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,1. 对比了好几家最终选择这家，果然没失望。商品做工扎实，材质很好，使用起来很方便。京东配送速度快，服务到位，非常满意，以后还会再来！,67,2026-03-06,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,携带轻巧方便，搭配适马1850，对于女士来讲轻松上手不累，拍照特别花树静物绝绝子,40,2026-03-04,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,索尼这个入门级微单相机很好，给孩子买的，孩子很喜欢，照相很清晰，重量也很轻，出门游玩带着方便，多出去看看风景少玩点手机挺好的！,63,2026-03-04,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,版型很正👕，上身效果特别好，朋友都问我要链接呢🔗！,25,2026-03-03,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,我非常满意这次的购物体验！产品质量上乘，服务态度热情周到，物流速度也异常快捷。从下单到收货整个过程都十分顺利，没有任何的不便。商家对待客户的细心和耐心值得表扬，让人感觉非常贴心。总之，这是一次非常愉快的购物经历，我会向朋友们推荐这里，期待下次再次光顾！,126,2026-03-03,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,东西不错，质量挺好，很喜欢下次还会光临，好评推荐，物流很快，服务很好，包装很好，很满意，下次继续，推荐购买，值得信赖。宝贝收到了很不错的。功能强大。操作简单。,79,2026-03-02,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,做工精细，成像效果出众，非常满意！,17,2026-03-02,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,"质量非常好，与卖家描述的完全一致, 真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物，质量很好， 希望更多的朋友信赖。店主态度特好，会再次光顾的好卖家。赞，发货迅速，态度很好，很满意！很好很好！网上购物这么激烈，没想到店家的服务这么好，商品质量好而价低廉，很热情的卖家，下次还来，希望下次还有机会合作。祝你生意兴隆！",192,2026-03-01,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物这质量真是太意外了，实物美美哒，拿在手上很轻巧，拍照也清晰，入门级的微单就是看中它的轻巧，强烈推荐哦~,98,2026-02-28,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,目前使用起来感觉还不错，就是没有闪光灯，夜晚拍照。光照不足，拍照会虚焦。会把照片拍糊。都视频还可以。,50,2026-02-28,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,商品质量很好，包装严实无破损。外观精致，和描述完全一致，没有色差。使用起来非常方便，操作简单，效果令人满意。物流速度很快，快递员服务态度好。客服耐心解答问题，购物体验很愉快。物有所值，性价比高，会推荐给朋友，下次还会再来购买。,113,2026-02-27,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,想入手一个小巧，对焦快的，成像质量好一些的微单相机，就选择了这一款，知道这个是只要拍视频的，但是拍照也可以接受。之前用的是富士某型号热门产品，对焦太慢，这个索尼还行。选择一代主要是机械快门，咔嚓咔嚓。,100,2026-02-27,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,相机拍摄视频效果很好，,11,2026-02-27,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,宝贝收到了！非常出乎意料，非常惊喜！下次还会来的～好卖家，继续关注！全五分好评！,40,2026-02-26,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,"“快递给力，手机手感不错，用着舒服。….....运行速度够快，拍照效果清晰，没买错”。
价格实惠，手机很值，买给老人用的，速度反应快足够支持老人用”",74,2026-02-24,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,！！人生第一台相机！非常不错喜欢！爱不释手了哈哈哈哈哈,27,2026-02-24,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,ZV-E10K作为入门微单很能打，画质、对焦同价位拔尖，视频功能针对性强，机身轻巧好携带。无取景器、续航偏弱是小遗憾，日常拍视频、记录生活完全够用，值得入手。,79,2026-02-17,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,很不错好用 就是送的相机套鸡肋,15,2026-02-24,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,这款相机性价比超高，画质清晰细腻，对焦快速精准，操作简单易上手，机身轻便携带方便。无论是日常记录还是拍摄视频都很出色，使用体验非常满意，强烈推荐！,73,2026-02-24,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,目前用起来还行，新手小白不太会调，但是用起来还不错，确实要光线好的时候才好拍。,39,2026-02-24,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,差评,1,相机质量没问题就是价格目前太高 我是着急用 非急用暂时不推荐入手 太贵了目前  购物体验很差 送的相机腕带和底座质量极差 我这个还是瑕疵品 客服也不管 谨慎购买 合理评价供大家参考,90,2026-02-23,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,1星
索尼,ZV-E10,好评,5,"产品包装：ok
成像效果：过年出游拍照效果不错
便携性能：携带方便",33,2026-02-21,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,📸相机质感超赞，握持手感很舒服～🔋电池续航给力，拍视频一小时无压力！🎥屏幕触控灵敏，操作流畅不卡顿✨成像色彩真实，细节还原到位～💼便携性满分，出门随手拍都超方便👍整体体验非常满意，值得入手！,95,2026-02-21,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,确实很好很不错，还得是SONY,15,2026-02-18,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,客服态度极差，商家少发东西，态度极其傲慢，不建议买,25,2026-02-18,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,相机很不错，自己又加个定焦头。,15,2026-02-15,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,孩子太喜欢了，白色颜值很高，说比那个大疆好多了，年后出去玩正好带着,33,2026-02-15,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,"很轻巧
背着不重
效果还没有试出来
娃很喜欢",22,2026-02-15,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,"非常非常好
喜欢！",9,2026-02-14,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,穿上直接颜值巅峰！立体剪让平板身材也有曲线美，面料自带抗皱属性，适合出差党，飞机上蜷缩十小时依旧挺拔有型！,53,2026-02-14,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,太棒啦 前一天下单 第二天就到啊了～ 拍照 摄像都特别好！ 而且是索尼官方的货 品质有保证，放心，有正规的售后 放心 好评！,62,2026-02-13,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,索尼这款相机摄拍均保真清晰，质量很好，操作携带方便，专业陪伴，非常满意，值得推荐！,41,2026-02-13,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用好用,66,2026-02-13,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,拍出来很好看，终于拥有了人生第一台相机，也不是很贵，适合学生党。录像的话也很不错，接下来要好好发掘发掘他，更好的记录我的生活,62,2026-02-13,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,"🌟这款产品真的超乎预期！🌟
触控灵敏度很高，操作流畅不卡顿📱，功能齐全又实用🔧，日常使用完全够用。
电池续航给力，一天正常使用毫无压力🔋，充电速度也很快⚡。
包装很用心，快递员服务态度好，送货准时🚚。
整体体验非常满意，强烈推荐👍！
✨✨✨✨✨",122,2026-02-12,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,已经出了，但机子不错，c画幅还是小点，不过便携，很好,26,2026-02-11,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,办公室多次购买，质量稳定，使用方便流畅，不渗水，不卡纸，纸质不泛黄，现办公室仅用此纸，无需采购其他纸，一劳永逸，很好用，打印清晰，不脱粉，不卡纸，用过很多包了，下次还会继续购买，如果有活动可以屯多一点。,101,2026-02-11,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,这台索尼相机太让人惊喜了！画质细腻到每一根发丝都清晰，色彩直出就非常漂亮。对焦速度快如闪电，抓拍孩子和宠物瞬间毫无压力。机身手感扎实，菜单逻辑也比以前改进很多，触屏操作很跟手。无论是拍视频还是照片，表现都非常均衡且出色。原厂包装配件齐全，这个价位能买到这样的性能，真心觉得值！强烈推荐给想升级设备的朋友。,152,2026-02-11,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,ZVE10，选了一代。二代看上去确实很好，但是一代价格真是香啊。差了两千块钱，买个镜头它不好吗。反正用来做直播的，也都是连着假电池使用，用一代二代真没太大区别,79,2026-02-10,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,新手学习挺好，机身小巧,11,2026-02-09,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,4,拆机装好，不通电，说是索尼都这样的，要先充电，也是无语了！第一次碰到，先充电，回头试试机器！,46,2026-02-08,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,4星
索尼,ZV-E10,好评,5,宝贝收到啦，质量超棒，细节处理得很好，完全超出我的预期，必须好评！😘,34,2026-02-07,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,"产品包装：包装完整，没有开封的痕迹。
外形外观：外形简约，做工精细，手感很棒！
成像效果：成像很好，秒杀一切手机。
反应速度：反映很快，操作简单
便携性能：很轻便，携带方便，戴脖子上不感觉重",95,2026-02-07,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,很小巧，比较喜欢的就是它的体积,15,2026-02-07,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,上一个索尼相机用了16年了，对比很多相机还是买索尼。缺点一，只要拆了箱子的封口就不能退货。缺点二，相比单反相机现在的相机功能越多，越没有老款的好用。用来拍照，又不需要很多功能，研究了半天都拍不到旧相机的效果。缺点三，客服人员竟然说你不满意，就当二手的卖了，刚买的相机，只是开了箱，看了一下，试了一下，就要你当二手的卖了也是服了。在京东西，买电器，唯一一次不满意的。,182,2026-02-06,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,东西非常好，大品牌了，值得信赖，商家服务也很好，物流很快，支持支持！东西非常好，大品牌了，值得信赖，商家服务也很好，物流很快，支持支持！,68,2026-02-06,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,收到货了，很好用，适合新商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢！手,80,2026-02-05,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,"图片清晰、触碰对焦还算灵敏
电池的话需要备两块备用的吧、平常低强度拍摄的话连续拍摄2个小时左右应该是没有问题出去旅游或者需要全天拍摄的话还是需要买两块备用电池
机身没有防抖但是拍照时快门设置正常没有剧烈抖动基本不会糊片长快门的话一般都上三脚架或者稳定器了所以问题不大
整体来讲个人体验了两周觉得很不错原厂的镜头没有网上说的那么不堪菜单的话也有自定义页面玩熟悉的话还不错
就是DISP想要看其他信息只能一个一个调目前感觉这个体验不是很好或许别的相机这方面操控更轻松但是考虑到价格和综合性能轻便程度来讲还",250,2026-02-05,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,差评,1,质量很差，建议大家不要买，没有实际效果！日本货已经没有之前质量好,32,2026-02-04,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,1星
索尼,ZV-E10,好评,5,功能很多，还在开发，颜值超高，好看好看,19,2026-02-04,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,很轻便，机身质感也不错，但是不适合手太大的人，自带那个头操作难度有点大，新手还是得搞个超大光圈才行，拍视频，记录生活绝对够用，优于是刚接触相机﻿没敢指纹解锁,78,2026-02-04,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,还可以，确实比较吸睛，小巧，拍摄使用也比较方便,23,2026-02-03,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
